gene_name,p_value
PAPPA2,2.82E-05
GNPTAB,4.33E-05
AHR,4.33E-05
FSHR,5.67E-05
PIWIL1,8.03E-05
XKR6,0.000101059
ABCB4,0.000148973
KIAA1239,0.000153917
FLNC,0.000206672
SLC12A3,0.000214649
SLC44A5,0.000258064
FMO1,0.000258064
MUC12,0.000276153
NOC4L,0.000335783
SRR,0.000335783
ASPM,0.00039011
PRAMEF4,0.000503817
TBC1D30,0.000536748
KIAA0825,0.000536748
ACACA,0.000543759
PPP1R9A,0.000543759
TSHZ3,0.000556576
BMPR2,0.000570401
CXorf30,0.000570401
SGOL2,0.0005963
FAM160A1,0.0005963
WDR87,0.000687673
TRPM1,0.000723489
KALRN,0.000735206
NDST4,0.000751968
MLLT4,0.000804213
HYDIN,0.000832539
PCED1B,0.000927793
ANKRD30B,0.001109862
EMILIN2,0.001168537
GOLGA6L2,0.001168537
AKAP6,0.001171102
SCCPDH,0.001295616
WASHC1,0.001295616
LRRC38,0.001295616
PCDH15,0.001352076
FMO2,0.001396839
TRPM8,0.001396839
NTRK2,0.001434798
SV2C,0.001434798
MTL5,0.001434798
ANK1,0.001587115
ITIH1,0.001686408
C8orf34,0.001686408
MYB,0.001694956
EPS8L1,0.001694956
STRIP2,0.001694956
LRCH3,0.001831994
SOAT2,0.001831994
NHSL1,0.001831994
ANKUB1,0.001831994
CBLB,0.001843376
BCAR1,0.001843376
ZEB2,0.001843376
SLC17A8,0.001843376
CYYR1,0.001876657
FAM19A2,0.001876657
DDHD1,0.001876657
PITPNM2,0.001876657
SHISA6,0.001876657
OBP2A,0.001876657
EYS,0.001930706
EBF2,0.001979704
TTN,0.002103591
USP6,0.002111954
MDN1,0.002111954
DNAH9,0.002295841
PAK7,0.002336151
ZNF483,0.002409682
TET1,0.00246874
TRPS1,0.00246874
PARP8,0.00246874
ADCYAP1R1,0.003110564
OR2G6,0.003574322
PASK,0.003690161
SIPA1L3,0.003712342
CDH10,0.003773541
L3MBTL1,0.003944067
ECT2L,0.003944067
DNMT3L,0.003944067
INMT,0.003944067
RBBP8,0.003944067
CUX2,0.004103743
ZFR2,0.004526668
NPNT,0.004526668
PPP1R15A,0.004864158
IRS4,0.004864158
ARHGEF10,0.004864158
INTS2,0.004864158
OR2Z1,0.004864158
PTPRE,0.004864158
CBLN2,0.004864158
CYB5R4,0.004864158
SCD5,0.004864158
SH3RF3,0.004864158
LHX9,0.004864158
MCM2,0.004864158
SLC26A11,0.004864158
OR14C36,0.004864158
PNPLA8,0.004864158
ACOT11,0.004864158
DNAH6,0.00490863
ZFAND3,0.004964511
C17orf75,0.004964511
NFE2L3,0.004964511
KCNK15,0.004964511
AC010731.4,0.004964511
RASSF2,0.004964511
BAALC,0.004964511
ZNF593,0.004964511
FAM63B,0.004964511
NPPB,0.004964511
ZBTB37,0.004964511
KRTAP10-7,0.004964511
OTUB1,0.004964511
MAMSTR,0.004964511
FOXL2,0.004964511
SLC7A6,0.004964511
TAS2R10,0.004964511
HLA-DQA2,0.004964511
OSBPL11,0.004964511
SEC14L6,0.004964511
SHH,0.004964511
MARS,0.004964511
SLC35C2,0.004964511
KRTAP5-2,0.004964511
PRDM8,0.004964511
KCNJ11,0.004964511
STAB2,0.005009763
OR10J1,0.005118925
OR10A3,0.005118925
SI,0.005476582
ANKFN1,0.005557064
AIM1,0.005557064
UGT2B28,0.005557064
RBM44,0.005654528
HMCN2,0.005654528
DMRTB1,0.005717729
ZNF599,0.005717729
ECM2,0.005717729
ZNF558,0.005717729
OPN1LW,0.005717729
CFB,0.005717729
UTS2R,0.005717729
NUDCD1,0.005717729
CCDC7,0.005717729
TMEM214,0.005717729
TANGO6,0.005717729
C1orf167,0.005717729
TCTE1,0.005717729
T,0.005717729
IGFBP1,0.005717729
USP20,0.005717729
SECISBP2L,0.005717729
ADCY8,0.005872578
CT47B1,0.006023604
DENND1C,0.006023604
TAOK2,0.006023604
